time,date,total_population,contact_rate,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,still_infected,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
1,3/27/2020,1152400,10,9,,1,,1,,9,,,,0,,
2,3/28/2020,1152400,10,9,,1,,1,,8,,,,0,,
3,3/29/2020,1152400,10,9,,2,1,1,,7,,,,0,,
4,3/30/2020,1152400,10,11,2,2,,1,,9,,,,0,,
5,3/31/2020,1152400,10,13,2,3,1,1,,10,,,,0,,
6,4/1/2020,1152400,10,15,2,3,,1,,12,,,,0,,
7,4/2/2020,1152400,10,19,4,3,,1,,16,,,,0,,
8,4/3/2020,1152400,10,25,6,3,,1,,22,,,,0,,
9,4/4/2020,1152400,10,31,6,4,1,1,,27,,,,0,,
10,4/5/2020,1152400,10,38,7,4,,1,,34,,,,0,,
11,4/6/2020,1152400,10,39,1,5,1,2,,32,,,,0,,
12,4/7/2020,1152400,10,40,1,5,,2,,33,,,,0,,
13,4/8/2020,1152400,10,44,4,6,1,2,,36,,,,0,,
14,4/9/2020,1152400,10,64,20,6,,3,1,55,,,,0,,
15,4/10/2020,1152400,10,85,21,6,,3,,76,,,,0,,
16,4/11/2020,1152400,10,103,18,6,,3,,94,,,,0,,
17,4/12/2020,1152400,10,119,16,7,1,3,,109,,,,0,,
18,4/13/2020,1152400,10,125,6,7,,7,4,111,,,,0,,
19,4/14/2020,1152400,10,134,9,7,,8,1,119,,,,0,,
20,4/15/2020,1152400,10,173,39,7,,8,,158,,,,0,,
21,4/16/2020,1152400,10,204,31,7,,8,,189,,,,0,,
22,4/17/2020,1152400,10,240,36,8,1,8,,224,,,,0,,
23,4/18/2020,1152400,10,283,43,9,1,16,8,258,,,,0,,
24,4/19/2020,1152400,10,308,25,9,,21,5,278,,,,0,,
25,4/20/2020,1152400,10,312,4,11,2,21,,280,,,,0,,
26,4/21/2020,1152400,10,341,29,11,,21,,309,,,,0,,
27,4/22/2020,1152400,10,353,12,11,,22,1,320,,,,0,,
28,4/23/2020,1152400,10,396,43,11,,29,7,356,,,,0,,
