date,total_population,total_infected,hospitalized,total_hospitalized,,
5/24/2021,414426000,2183855,1019,1019,,
5/25/2021,414426000,2186463,984,2003,,
5/26/2021,414426000,2189858,917,2920,,
5/27/2021,414426000,2193367,860,3780,,
5/28/2021,414426000,2196673,893,4674,,
5/29/2021,414426000,2199769,913,5586,,
5/30/2021,414426000,2201472,921,6507,,
5/31/2021,414426000,2202494,810,7317,,
6/1/2021,414082000,2204631,579,7896,,
6/2/2021,414082000,2206836,579,8475,,
6/3/2021,414082000,2209417,1059,9534,,
6/4/2021,414082000,2211683,1009,10542,,
6/5/2021,414082000,2213580,960,11502,,
6/6/2021,414082000,2214517,916,12418,,
6/7/2021,414082000,2215052,875,13293,,
6/8/2021,414082000,2216654,840,14133,,
6/9/2021,414082000,2218039,756,14889,,
6/10/2021,414082000,2219824,718,15607,,
6/11/2021,414082000,2221427,693,16300,,
6/12/2021,414082000,2222701,674,16974,,
6/13/2021,414082000,2223558,663,17636,,
6/14/2021,414082000,2223978,651,18287,,
6/15/2021,414082000,2224992,638,18925,,
6/16/2021,414082000,2226037,625,19550,,
6/17/2021,414082000,2227225,612,20163,,
6/18/2021,414082000,2228192,599,20762,,
6/19/2021,414082000,2229044,586,21348,,
6/20/2021,414082000,2229523,574,21921,,
6/21/2021,414082000,2229846,375,22296,,
6/22/2021,414082000,2230142,467,22763,,
6/23/2021,414082000,2230977,505,23269,,
6/24/2021,414082000,2231914,559,23828,,
6/25/2021,414082000,2232790,543,24371,,
6/26/2021,414082000,2233546,526,24897,,
6/27/2021,414082000,2233996,510,25407,,
6/28/2021,414082000,2234281,495,25902,,
6/29/2021,414082000,2234463,481,26383,,
6/30/2021,414082000,2235096,466,26849,,
7/1/2021,413832000,2235801,464,27313,,
7/2/2021,413832000,2236497,439,27752,,
7/3/2021,413832000,2237202,432,28184,,
7/4/2021,413832000,2237579,421,28605,,
7/5/2021,413832000,2237823,413,29017,,
7/6/2021,413832000,2238364,388,29406,,
7/7/2021,413832000,2238974,365,29771,,
7/8/2021,413832000,2239591,351,30122,,
7/9/2021,413832000,2240246,396,30518,,
7/10/2021,413832000,2240753,364,30882,,
7/11/2021,413832000,2241043,374,31256,,
7/12/2021,413832000,2241217,266,31522,,
7/13/2021,413832000,2241698,249,31771,,
7/14/2021,413832000,2242245,282,32053,,
7/15/2021,413832000,2242868,288,32342,,
7/16/2021,413832000,2243605,343,32685,,
7/17/2021,413832000,2244196,384,33070,,
7/18/2021,413832000,2244495,382,33452,,
7/19/2021,413832000,2244677,307,33759,,
7/20/2021,413832000,2245275,508,34267,,
7/21/2021,413832000,2245930,508,34775,,
7/22/2021,413832000,2246656,446,35221,,
7/23/2021,413832000,2247419,446,35667,,
7/24/2021,413832000,2248164,461,36128,,
7/25/2021,413832000,2248450,469,36597,,
7/26/2021,413832000,2248663,472,37069,,
7/27/2021,413832000,2249344,472,37541,,
7/28/2021,413832000,2250061,507,38048,,
7/29/2021,413832000,2250907,493,38541,,
7/30/2021,413832000,2251869,480,39021,,
7/31/2021,413832000,2252785,473,39494,,
8/1/2021,413624000,2253269,470,39964,,
8/2/2021,413624000,2253534,469,40434,,
8/3/2021,413624000,2254361,470,40904,,
8/4/2021,413624000,2255345,472,41376,,
8/5/2021,413624000,2256397,465,41841,,
8/6/2021,413624000,2257478,482,42323,,
8/7/2021,413624000,2258532,494,42817,,
8/8/2021,413624000,2259151,502,43320,,
8/9/2021,413624000,2259451,508,43828,,
8/10/2021,413624000,2260232,335,44163,,
8/11/2021,413624000,2261354,342,44505,,
8/12/2021,413624000,2262601,398,44903,,
8/13/2021,413624000,2263864,436,45339,,
8/14/2021,413624000,2265217,461,45800,,
8/15/2021,413624000,2265912,480,46280,,
8/16/2021,413624000,2266329,495,46775,,
8/17/2021,413624000,2267219,379,47154,,
8/18/2021,413624000,2268666,677,47831,,
8/19/2021,413624000,2270226,624,48455,,
8/20/2021,413624000,2271826,590,49045,,
8/21/2021,413624000,2273558,573,49618,,
8/22/2021,413624000,2274561,569,50187,,
8/23/2021,413624000,2275171,574,50761,,
8/24/2021,413624000,2275863,410,51171,,
8/25/2021,413624000,2276590,457,51628,,
8/26/2021,413624000,2278171,504,52132,,
8/27/2021,413624000,2280203,550,52682,,
8/28/2021,413624000,2282285,596,53279,,
8/29/2021,413624000,2284191,640,53918,,
8/30/2021,413624000,2284940,680,54598,,
8/31/2021,413624000,2286296,720,55318,,
9/1/2021,413425000,2288371,762,56081,,
9/2/2021,413425000,2290848,787,56868,,
9/3/2021,413425000,2293541,826,57694,,
9/4/2021,413425000,2296155,874,58567,,
9/5/2021,413425000,2297534,898,59465,,
9/6/2021,413425000,2298307,923,60388,,
9/7/2021,413425000,2300504,960,61348,,
9/8/2021,413425000,2303276,1017,62365,,
9/9/2021,413425000,2306939,971,63336,,
9/10/2021,413425000,2310554,998,64334,,
9/11/2021,413425000,2314423,1071,65405,,
9/12/2021,413425000,2316619,1166,66571,,
9/13/2021,413425000,2317824,833,67404,,
9/14/2021,413425000,2321156,1078,68482,,
9/15/2021,413425000,2325796,1292,69774,,
9/16/2021,413425000,2331540,1450,71224,,
9/17/2021,413425000,2338164,1568,72792,,
9/18/2021,413425000,2344398,1719,74511,,
9/19/2021,413425000,2348381,1767,76278,,
9/20/2021,413425000,2350646,1767,78045,,
9/21/2021,413425000,2355805,1255,79300,,
9/22/2021,413425000,2362559,1261,80561,,
9/23/2021,413425000,2370425,1526,82087,,
9/24/2021,413425000,2379483,1734,83821,,
9/25/2021,413425000,2387750,1851,85672,,
9/26/2021,413425000,2392397,1991,87662,,
9/27/2021,413425000,2395404,2008,89670,,
9/28/2021,413425000,2401956,1288,90958,,
9/29/2021,413425000,2411622,2855,93813,,
9/30/2021,413425000,2423379,2774,96587,,
10/1/2021,413198000,2435413,2433,99019,,
10/2/2021,413198000,2447222,2692,101711,,
10/3/2021,413198000,2455189,2092,103803,,
10/4/2021,413198000,2460010,2092,105895,,
10/5/2021,413198000,2469856,1881,107776,,
10/6/2021,413198000,2482518,3745,111521,,
10/7/2021,413198000,2497643,3526,115047,,
10/8/2021,413198000,2514005,3526,118573,,
10/9/2021,413198000,2529913,3571,122144,,
10/10/2021,413198000,2541257,2672,124816,,
10/11/2021,413198000,2550089,2672,127488,,
10/12/2021,413198000,2562085,4901,132389,,
10/13/2021,413198000,2578394,4901,137290,,
10/14/2021,413198000,2597275,4947,142237,,
10/15/2021,413198000,2610899,4947,147184,,
10/16/2021,413198000,2623882,2859,150043,,
10/17/2021,413198000,2635170,3729,153772,,
10/18/2021,413198000,2644694,4116,157888,,
10/19/2021,413198000,2660273,4532,162420,,
10/20/2021,413198000,2679185,5468,167888,,
10/21/2021,413198000,2701600,4892,172780,,
10/22/2021,413198000,2725385,5362,178142,,
10/23/2021,413198000,2748614,5362,183504,,
10/24/2021,413198000,2769405,5924,189428,,
10/25/2021,413198000,2784039,3912,193340,,
10/26/2021,413198000,2803159,2939,196279,,
10/27/2021,413198000,2825733,5925,202204,,
10/28/2021,413198000,2851804,5925,208129,,
10/29/2021,413198000,2878674,5463,213592,,
10/30/2021,413198000,2904872,5305,218897,,
10/31/2021,413198000,2922302,5663,224560,,
11/1/2021,412709000,2936238,5663,230223,,
11/2/2021,412709000,2955693,3828,234051,,
11/3/2021,412709000,2979086,5935,239986,,
11/4/2021,412709000,3006463,5472,245458,,
11/5/2021,412709000,3032951,5497,250955,,
11/6/2021,412709000,3058014,5057,256012,,
11/7/2021,412709000,3075433,5652,261664,,
11/8/2021,412709000,3088501,3532,265196,,
11/9/2021,412709000,3107489,2967,268163,,
11/10/2021,412709000,3130772,4778,272941,,
11/11/2021,412709000,3155519,4778,277719,,
11/12/2021,412709000,3179577,4318,282037,,
11/13/2021,412709000,3203149,4356,286393,,
11/14/2021,412709000,3217639,4243,290636,,
11/15/2021,412709000,3228441,4092,294728,,
11/16/2021,412709000,3244749,3967,298695,,
11/17/2021,412709000,3263417,4468,303163,,
11/18/2021,412709000,3284008,3907,307070,,
11/19/2021,412709000,3304058,3637,310707,,
11/20/2021,412709000,3322308,3594,314301,,
11/21/2021,412709000,3332943,4048,318349,,
11/22/2021,412709000,3340407,2501,320850,,
11/23/2021,412709000,3353136,2055,322905,,
11/24/2021,412709000,3367461,4077,326982,,
11/25/2021,412709000,3384404,3404,330386,,
11/26/2021,412709000,3400340,3208,333594,,
11/27/2021,412709000,3414540,3305,336899,,
11/28/2021,412709000,3422023,3456,340355,,
11/29/2021,412709000,3427827,3456,343811,,
11/30/2021,412709000,3438381,2082,345893,,
12/1/2021,412081000,3450341,3629,349522,,
12/2/2021,412081000,3463872,3003,352525,,
12/3/2021,412081000,3477649,3003,355528,,
12/4/2021,412081000,3490855,2764,358292,,
12/5/2021,412081000,3497477,2764,361056,,
12/6/2021,412081000,3501955,2926,363982,,
12/7/2021,412081000,3510610,2926,366908,,
12/8/2021,412081000,3519981,2998,369906,,
12/9/2021,412081000,3532357,2998,372904,,
12/10/2021,412081000,3543684,2919,375823,,
12/11/2021,412081000,3553817,2766,378590,,
12/12/2021,412081000,3559092,2719,381308,,
12/13/2021,412081000,3563165,2625,383933,,
12/14/2021,412081000,3570448,2536,386470,,
12/15/2021,412081000,3578557,2459,388929,,
12/16/2021,412081000,3588147,2355,391284,,
12/17/2021,412081000,3597046,2253,393538,,
12/18/2021,412081000,3604549,2134,395672,,
12/19/2021,412081000,3608151,2045,397717,,
12/20/2021,412081000,3610687,2129,399846,,
12/21/2021,412081000,3616716,1241,401087,,
12/22/2021,412081000,3623079,2241,403328,,
12/23/2021,412081000,3630391,1691,405019,,
12/24/2021,412081000,3637038,1646,406665,,
12/25/2021,412081000,3642314,1689,408354,,
12/26/2021,412081000,3645124,1317,409671,,
12/27/2021,412081000,3646988,1235,410906,,
12/28/2021,412081000,3649236,944,411850,,
12/29/2021,412081000,3654690,1153,413003,,
12/30/2021,412081000,3660620,1747,414750,,
12/31/2021,412081000,3667649,1578,416328,,
1/1/2022,411673000,3672675,1554,417882,,
1/2/2022,411673000,3674538,1168,419050,,
1/3/2022,411673000,3676342,1168,420218,,
1/4/2022,411673000,3678088,970,421188,,
1/5/2022,411673000,3682659,1366,422554,,
1/6/2022,411673000,3689291,2028,424582,,
1/7/2022,411673000,3696468,1890,426472,,
1/8/2022,411673000,3699663,1477,427949,,
1/9/2022,411673000,3702473,1752,429701,,
1/10/2022,411673000,3704442,1064,430765,,
1/11/2022,411673000,3709871,1481,432246,,
1/12/2022,411673000,3716988,1569,433814,,
1/13/2022,411673000,3727034,1898,435712,,
1/14/2022,411673000,3737510,1656,437368,,
1/15/2022,411673000,3748079,1656,439024,,
1/16/2022,411673000,3754458,1682,440706,,
1/17/2022,411673000,3759530,1125,441831,,
1/18/2022,411673000,3768088,1455,443286,,
1/19/2022,411673000,3780903,1719,445005,,
1/20/2022,411673000,3799382,1676,446681,,
1/21/2022,411673000,3819538,1642,448323,,
1/22/2022,411673000,3842011,1929,450252,,
1/23/2022,411673000,3857455,2774,453026,,
