date,total_population,total_infected,new_infection_cases,total_death,new_death_cases,total_recovered,new_recovered_cases,stil_infected
2020-03-18,418581000,16,,2,,,,14
2020-03-19,418581000,26,7,3,,,,23
2020-03-20,418581000,41,12,3,,1,,37
2020-03-21,418581000,47,6,3,,1,,43
2020-03-22,418581000,73,26,3,,1,,69
2020-03-23,418581000,73,,3,,1,,69
2020-03-24,418581000,97,24,3,,1,,93
2020-03-25,418581000,145,32,5,1,1,,139
2020-03-26,418581000,156,11,5,,1,,150
2020-03-27,418581000,218,52,5,,5,4,208
2020-03-28,418581000,311,83,8,1,5,,298
2020-03-29,418581000,418,105,9,1,5,,404
2020-03-30,418581000,480,62,11,,6,,463
2020-03-31,418581000,549,69,13,2,8,,528
2020-04-01,418306000,669,120,17,4,10,2,642
2020-04-02,418306000,804,135,20,3,13,2,771
2020-04-03,418306000,942,138,23,2,19,6,900
2020-04-04,418306000,1096,154,28,2,23,4,1045
2020-04-05,418306000,1251,156,32,4,24,1,1195
2020-04-06,418306000,1319,68,38,4,28,1,1253
2020-04-07,418306000,1462,143,45,4,28,1,1389
2020-04-08,418306000,1668,206,52,6,35,6,1581
2020-04-09,418306000,1892,224,57,5,45,9,1790
2020-04-10,418306000,2203,311,69,11,61,13,2073
2020-04-11,418306000,2511,308,73,3,79,16,2359
2020-04-12,418306000,2777,264,83,10,89,7,2605
2020-04-13,418306000,3102,325,94,10,97,8,2911
2020-04-14,418306000,3372,270,98,4,119,22,3155
2020-04-15,418306000,3764,392,108,9,143,18,3513
2020-04-16,418306000,4161,397,116,6,186,13,3859
2020-04-17,418306000,4662,501,125,9,246,60,4291
2020-04-18,418306000,5106,444,133,8,275,29,4698
2020-04-19,418306000,5449,343,141,8,347,69,4961
2020-04-20,418306000,5710,261,151,9,359,12,5200
2020-04-21,418306000,6125,415,161,10,367,8,5597
2020-04-22,418306000,6592,467,174,12,424,54,5994
2020-04-23,418306000,7170,578,187,13,505,81,6478
2020-04-24,418306000,7647,477,193,6,601,96,6853
2020-04-25,418306000,8135,488,201,8,771,173,7163
2020-04-26,418306000,8617,482,209,8,840,69,7568
2020-04-27,418306000,9009,392,220,11,864,24,7925
2020-04-28,418306000,9410,401,239,19,992,125,8179
2020-04-29,418306000,9866,456,250,11,1103,111,8513
2020-04-30,418306000,10406,540,261,11,1238,135,8907
2020-05-01,418062000,10861,455,272,11,1413,175,9176
2020-05-02,418062000,11411,550,279,7,1498,85,9634
2020-05-03,418062000,11913,502,288,9,1547,49,10078
2020-05-04,418062000,12331,418,303,15,1619,72,10409
2020-05-05,418062000,12697,366,316,13,1875,256,10506
2020-05-06,418062000,13184,487,327,11,2097,222,10760
2020-05-07,418062000,13691,507,340,13,2396,299,10955
2020-05-08,418062000,14195,504,361,21,2706,310,11128
2020-05-09,418062000,14710,515,376,15,2909,203,11425
2020-05-10,418062000,15232,522,391,15,3060,151,11781
2020-05-11,418062000,15648,416,408,17,3288,228,11952
2020-05-12,418062000,16023,375,425,17,3373,85,12225
2020-05-13,418062000,16425,402,439,14,3716,343,12270
2020-05-14,418062000,16847,422,456,17,4143,427,12248
2020-05-15,418062000,17330,483,476,20,4473,330,12381
2020-05-16,418062000,17858,528,497,21,4906,433,12455
2020-05-17,418062000,18291,433,514,17,5116,210,12661
2020-05-18,418062000,18616,325,535,21,5276,160,12805
2020-05-19,418062000,18876,260,548,13,5632,356,12696
2020-05-20,418062000,19230,354,564,16,5955,323,12711
2020-05-21,418062000,19706,476,579,15,6227,272,12900
2020-05-22,418062000,20148,442,588,9,6585,358,12975
2020-05-23,418062000,20580,432,605,17,6929,344,13046
2020-05-24,418062000,20986,406,617,12,7108,179,13261
2020-05-25,418062000,21245,259,623,6,7234,126,13388
2020-05-26,418062000,21584,339,644,21,7575,341,13365
2020-05-27,418062000,21905,321,658,14,7995,420,13252
2020-05-28,418062000,22382,477,669,11,8439,444,13274
2020-05-29,418062000,22811,429,679,10,8934,495,13198
2020-05-30,418062000,23204,393,696,17,9311,377,13197
2020-05-31,418062000,23672,468,708,12,9538,227,13426
2020-06-01,417858000,24012,340,718,10,9690,152,13604
2020-06-02,417858000,24340,328,727,9,10078,388,13535
2020-06-03,417858000,24823,483,735,8,10440,362,13648
2020-06-04,417858000,25411,588,747,12,11042,602,13622
2020-06-05,417858000,25964,553,762,15,11372,330,13830
2020-06-06,417858000,26514,550,777,15,11812,440,13925
2020-06-07,417858000,26999,485,788,11,12054,242,14157
2020-06-08,417858000,27462,463,797,9,12195,141,14470
2020-06-09,417858000,27856,394,810,13,12412,217,14634
2020-06-10,417858000,28381,525,833,23,12769,357,14779
2020-06-11,417858000,29070,689,854,21,13141,372,15075
2020-06-12,417858000,29753,683,870,16,13567,426,15316
2020-06-13,417858000,30506,753,880,10,13976,409,15650
2020-06-14,417858000,31154,648,889,9,14082,106,16183
2020-06-15,417858000,31810,656,901,12,14253,171,16656
2020-06-16,417858000,32476,666,912,11,14528,275,17036
2020-06-17,417858000,33234,758,943,31,14943,415,17348
2020-06-18,417858000,34063,829,966,23,15447,504,17650
2020-06-19,417858000,34984,921,985,19,16033,586,17966
2020-06-20,417858000,35825,841,994,9,16406,373,18425
2020-06-21,417858000,36560,735,1002,8,16509,103,19049
2020-06-22,417858000,37241,681,1012,10,16642,133,19587
