date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-03-01,41130000,4905,,000.01 %,,,
2021-03-02,41130000,6888,1983,000.02 %,,,
2021-03-03,41130000,9568,2680,000.02 %,,,
2021-03-04,41130000,12481,2913,000.03 %,,,
2021-03-05,41130000,15758,3277,000.04 %,,,
2021-03-06,41130000,17037,1279,000.04 %,,,
2021-03-07,41130000,17947,910,000.04 %,,,
2021-03-08,41130000,19118,1171,000.05 %,,,
2021-03-09,41130000,23480,4362,000.06 %,,,
2021-03-10,41130000,29378,5898,000.07 %,,,
2021-03-11,41130000,38237,8859,000.09 %,,,
2021-03-12,41130000,47541,9304,000.12 %,,,
2021-03-13,41130000,51137,3596,000.12 %,,,
2021-03-14,41130000,53155,2018,000.13 %,,,
2021-03-15,41130000,62083,8928,000.15 %,,,
2021-03-16,41130000,71922,9839,000.17 %,1,,000.00 %
2021-03-17,41130000,81754,9832,000.20 %,1,,000.00 %
2021-03-18,41130000,92713,10959,000.23 %,1,,000.00 %
2021-03-19,41130000,104341,11628,000.25 %,1,,000.00 %
2021-03-20,41130000,108309,3968,000.26 %,1,,000.00 %
2021-03-21,41130000,111024,2715,000.27 %,1,,000.00 %
2021-03-22,41130000,121928,10904,000.30 %,1,,000.00 %
2021-03-23,41130000,137025,15097,000.33 %,1,,000.00 %
2021-03-24,41130000,155586,18561,000.38 %,1,,000.00 %
2021-03-25,41130000,174324,18738,000.42 %,1,,000.00 %
2021-03-26,41130000,192263,17939,000.47 %,1,,000.00 %
2021-03-27,41130000,196879,4616,000.48 %,1,,000.00 %
2021-03-28,41130000,198464,1585,000.48 %,1,,000.00 %
2021-03-29,41130000,212896,14432,000.52 %,2,1,000.00 %
2021-03-30,41130000,231564,18668,000.56 %,2,,000.00 %
2021-03-31,41130000,248734,17170,000.60 %,2,,000.00 %
2021-04-01,41130000,267831,19097,000.65 %,2,,000.00 %
2021-04-02,41130000,286645,18814,000.70 %,2,,000.00 %
2021-04-03,41130000,290564,3919,000.71 %,2,,000.00 %
2021-04-04,41130000,291822,1258,000.71 %,2,,000.00 %
2021-04-05,41130000,304678,12856,000.74 %,2,,000.00 %
2021-04-06,41130000,320263,15585,000.78 %,2,,000.00 %
2021-04-07,41130000,334576,14313,000.81 %,2,,000.00 %
2021-04-08,41130000,353142,18566,000.86 %,5,3,000.00 %
2021-04-09,41130000,373000,19858,000.91 %,5,,000.00 %
2021-04-10,41130000,377048,4048,000.92 %,5,,000.00 %
2021-04-11,41130000,378264,1216,000.92 %,5,,000.00 %
2021-04-12,41130000,388399,10135,000.94 %,5,,000.00 %
2021-04-13,41130000,403551,15152,000.98 %,5,,000.00 %
2021-04-14,41130000,419295,15744,001.02 %,5,,000.00 %
2021-04-15,41130000,432824,13529,001.05 %,5,,000.00 %
2021-04-16,41130000,445859,13035,001.08 %,5,,000.00 %
2021-04-17,41130000,449192,3333,001.09 %,5,,000.00 %
2021-04-18,41130000,450645,1453,001.10 %,5,,000.00 %
2021-04-19,41130000,462789,12144,001.13 %,5,,000.00 %
2021-04-20,41130000,477831,15042,001.16 %,5,,000.00 %
2021-04-21,41130000,491875,14044,001.20 %,5,,000.00 %
2021-04-22,41130000,508044,16169,001.24 %,5,,000.00 %
2021-04-23,41130000,522383,14339,001.27 %,5,,000.00 %
2021-04-24,41130000,526914,4531,001.28 %,5,,000.00 %
2021-04-25,41130000,528028,1114,001.28 %,5,,000.00 %
2021-04-26,41130000,539124,11096,001.31 %,9,4,000.00 %
2021-04-27,41130000,558714,19590,001.36 %,9,,000.00 %
2021-04-28,41130000,629182,70468,001.53 %,10,1,000.00 %
2021-04-29,41130000,702438,73256,001.71 %,130,120,000.00 %
2021-04-30,41130000,752293,49855,001.83 %,260,130,000.00 %
2021-05-01,41130000,754924,2631,001.84 %,290,30,000.00 %
2021-05-02,41130000,755101,177,001.84 %,290,,000.00 %
2021-05-03,41130000,756020,919,001.84 %,290,,000.00 %
2021-05-04,41130000,759432,3412,001.85 %,303,13,000.00 %
2021-05-05,41130000,783810,24378,001.91 %,419,116,000.00 %
2021-05-06,41130000,821768,37958,002.00 %,428,9,000.00 %
2021-05-07,41130000,857796,36028,002.09 %,446,18,000.00 %
2021-05-08,41130000,862639,4843,002.10 %,446,,000.00 %
2021-05-09,41130000,863643,1004,002.10 %,446,,000.00 %
2021-05-10,41130000,865588,1945,002.10 %,695,249,000.00 %
2021-05-11,41130000,882619,17031,002.15 %,1928,1233,000.00 %
2021-05-12,41130000,901105,18486,002.19 %,3828,1900,000.01 %
2021-05-13,41130000,918162,17057,002.23 %,8358,4530,000.02 %
2021-05-14,41130000,936497,18335,002.28 %,13661,5303,000.03 %
2021-05-15,41130000,939236,2739,002.28 %,17086,3425,000.04 %
2021-05-16,41130000,940158,922,002.29 %,18394,1308,000.04 %
2021-05-17,41130000,948330,8172,002.31 %,27454,9060,000.07 %
2021-05-18,41130000,957346,9016,002.33 %,37315,9861,000.09 %
2021-05-19,41130000,964745,7399,002.35 %,48070,10755,000.12 %
2021-05-20,41130000,971032,6287,002.36 %,60696,12626,000.15 %
2021-05-21,41130000,977009,5977,002.38 %,72302,11606,000.18 %
2021-05-22,41130000,978031,1022,002.38 %,74783,2481,000.18 %
2021-05-23,41130000,978352,321,002.38 %,75787,1004,000.18 %
2021-05-24,41130000,981970,3618,002.39 %,86225,10438,000.21 %
2021-05-25,41130000,987191,5221,002.40 %,97391,11166,000.24 %
2021-05-26,41130000,992189,4998,002.41 %,107524,10133,000.26 %
2021-05-27,41130000,999072,6883,002.43 %,116934,9410,000.28 %
2021-05-28,41130000,1008857,9785,002.45 %,123964,7030,000.30 %
2021-05-29,41130000,1015976,7119,002.47 %,125437,1473,000.30 %
2021-05-30,41130000,1021804,5828,002.48 %,125777,340,000.31 %
2021-05-31,41130000,1032036,10232,002.51 %,129482,3705,000.31 %
2021-06-01,41130000,1048013,15977,002.55 %,133138,3656,000.32 %
2021-06-02,41130000,1076793,28780,002.62 %,138090,4952,000.34 %
2021-06-03,41130000,1123661,46868,002.73 %,142062,3972,000.35 %
2021-06-04,41130000,1177371,53710,002.86 %,145792,3730,000.35 %
2021-06-05,41130000,1216600,39229,002.96 %,146664,872,000.36 %
2021-06-06,41130000,1241006,24406,003.02 %,147118,454,000.36 %
2021-06-07,41130000,1284143,43137,003.12 %,152142,5024,000.37 %
2021-06-08,41130000,1328068,43925,003.23 %,161378,9236,000.39 %
2021-06-09,41130000,1364566,36498,003.32 %,180453,19075,000.44 %
2021-06-10,41130000,1395310,30744,003.39 %,204038,23585,000.50 %
2021-06-11,41130000,1430990,35680,003.48 %,230420,26382,000.56 %
2021-06-12,41130000,1459374,28384,003.55 %,236906,6486,000.58 %
2021-06-13,41130000,1479701,20327,003.60 %,238798,1892,000.58 %
2021-06-14,41130000,1507801,28100,003.67 %,260755,21957,000.63 %
2021-06-15,41130000,1543263,35462,003.75 %,287884,27129,000.70 %
2021-06-16,41130000,1594081,50818,003.88 %,313604,25720,000.76 %
2021-06-17,41130000,1652053,57972,004.02 %,337345,23741,000.82 %
2021-06-18,41130000,1700709,48656,004.13 %,355790,18445,000.87 %
2021-06-19,41130000,1722325,21616,004.19 %,359777,3987,000.87 %
2021-06-20,41130000,1726040,3715,004.20 %,360452,675,000.88 %
2021-06-21,41130000,1732611,6571,004.21 %,362847,2395,000.88 %
2021-06-22,41130000,1755137,22526,004.27 %,394342,31495,000.96 %
2021-06-23,41130000,1793999,38862,004.36 %,435401,41059,001.06 %
2021-06-24,41130000,1834969,40970,004.46 %,490611,55210,001.19 %
2021-06-25,41130000,1871509,36540,004.55 %,551201,60590,001.34 %
2021-06-26,41130000,1893837,22328,004.60 %,572533,21332,001.39 %
2021-06-27,41130000,1904878,11041,004.63 %,580123,7590,001.41 %
2021-06-28,41130000,1912469,7591,004.65 %,589597,9474,001.43 %
2021-06-29,41130000,1933944,21475,004.70 %,649759,60162,001.58 %
2021-06-30,41130000,1965658,31714,004.78 %,711231,61472,001.73 %
2021-07-01,41130000,2001130,35472,004.87 %,766718,55487,001.86 %
2021-07-02,41130000,2038237,37107,004.96 %,824158,57440,002.00 %
