date,total_population,total_vaccinated,new_vaccinated,vaccinated_percentage,fully_vaccinated,new_fully_vaccinated,fully_vaccinated_percentage
2021-03-01,1141000,110,,000.01 %,,,
2021-03-02,1141000,190,80,000.02 %,,,
2021-03-03,1141000,390,200,000.03 %,,,
2021-03-04,1141000,460,70,000.04 %,,,
2021-03-05,1141000,610,150,000.05 %,,,
2021-03-06,1141000,640,30,000.06 %,,,
2021-03-07,1141000,640,,000.06 %,,,
2021-03-08,1141000,640,,000.06 %,,,
2021-03-09,1141000,750,110,000.07 %,,,
2021-03-10,1141000,920,170,000.08 %,,,
2021-03-11,1141000,1240,320,000.11 %,,,
2021-03-12,1141000,1520,280,000.13 %,,,
2021-03-13,1141000,1630,110,000.14 %,,,
2021-03-14,1141000,1630,,000.14 %,,,
2021-03-15,1141000,1930,300,000.17 %,,,
2021-03-16,1141000,2190,260,000.19 %,,,
2021-03-17,1141000,2460,270,000.22 %,,,
2021-03-18,1141000,2710,250,000.24 %,,,
2021-03-19,1141000,3070,360,000.27 %,,,
2021-03-20,1141000,3230,160,000.28 %,,,
2021-03-21,1141000,3330,100,000.29 %,,,
2021-03-22,1141000,3730,400,000.33 %,,,
2021-03-23,1141000,4260,530,000.37 %,,,
2021-03-24,1141000,4810,550,000.42 %,,,
2021-03-25,1141000,5480,670,000.48 %,,,
2021-03-26,1141000,6130,650,000.54 %,,,
2021-03-27,1141000,6280,150,000.55 %,,,
2021-03-28,1141000,6280,,000.55 %,,,
2021-03-29,1141000,6800,520,000.60 %,,,
2021-03-30,1141000,7430,630,000.65 %,,,
2021-03-31,1141000,7800,370,000.68 %,,,
2021-04-01,1141000,8280,480,000.73 %,,,
2021-04-02,1141000,8820,540,000.77 %,,,
2021-04-03,1141000,8870,50,000.78 %,,,
2021-04-04,1141000,8920,50,000.78 %,,,
2021-04-05,1141000,9349,429,000.82 %,,,
2021-04-06,1141000,9929,580,000.87 %,,,
2021-04-07,1141000,10339,410,000.91 %,,,
2021-04-08,1141000,10919,580,000.96 %,,,
2021-04-09,1141000,11499,580,001.01 %,,,
2021-04-10,1141000,11649,150,001.02 %,,,
2021-04-11,1141000,11699,50,001.03 %,,,
2021-04-12,1141000,12139,440,001.06 %,,,
2021-04-13,1141000,12509,370,001.10 %,,,
2021-04-14,1141000,12839,330,001.13 %,,,
2021-04-15,1141000,13309,470,001.17 %,,,
2021-04-16,1141000,13736,427,001.20 %,,,
2021-04-17,1141000,13814,78,001.21 %,,,
2021-04-18,1141000,13854,40,001.21 %,,,
2021-04-19,1141000,14231,377,001.25 %,,,
2021-04-20,1141000,14716,485,001.29 %,,,
2021-04-21,1141000,15212,496,001.33 %,,,
2021-04-22,1141000,15754,542,001.38 %,,,
